BANDHAN Bank 729 - Cheque in hand,,,,,,,,,,,
Cheers Retail Private limited,,,,,,,,,,,
Date,Particulars,Instrument Number,"Instrument
 Date", Credit ,Bill Date,"Payment
 Type",Cheque In Hand / Issued on,Cheque debited on,Ageing,CO.,
25-11-2021,MOMS FOOD MARKETING,203,09-12-2021,"3,135",15-04-2021,Supplier,08-12-2021,,237,CV,
10-12-2021,VASUKI ENTERPRISES,258,18-12-2021,"3,852",27-11-2021,Supplier,17-12-2021,,20,CV,
27-12-2021,JAGADEESH ENTERPRISES_947,391,07-01-2022,"23,062",20-12-2021,Supplier,06-01-2022,,17,CRPL,
11-01-2022,PROFESSIONAL TAX REVENUE OFFICER,447,11-01-2022,"1,940",11-01-2022,ADMIN,11-01-2022,,0,CV,
24-11-2021,SR IT Services,190,31-01-2022,"10,000",14-10-2021,ADMIN,20-01-2022,,98,CV,
11-01-2022,ASHRIYA ENTERPRISES,454,24-01-2022,"1,796",31-12-2021,Supplier,21-01-2022,,21,CRPL,
13-01-2022,YAKULT DANONE INDIA PVT LTD_419,485,24-01-2022,"1,317",27-12-2021,Supplier,21-01-2022,,25,CRPL,
12-01-2022,Mars Pest Management Systems India Private Limited,467,01-02-2022,"2,124",03-11-2021,ADMIN,01-02-2022,,90,CRPL,
13-01-2022,BENANI FOODS PVT LTD_41,477,03-02-2022,"3,755",31-12-2021,Supplier,02-02-2022,,33,CRPL,
13-01-2022,BENANI FOODS PVT LTD_41,476,04-02-2022,"4,987",20-12-2021,Supplier,03-02-2022,,45,CRPL,
25-01-2022,R.V.ENTERPRISES_797,602,04-02-2022,"7,888",17-01-2022,Supplier,03-02-2022,,17,CRPL,
25-01-2022,MEHTA AGENCIES_949,601,05-02-2022,"5,394",12-01-2022,Supplier,04-02-2022,,23,CRPL,
27-01-2022,Natural Office Mart,615,05-02-2022,"1,906",26-10-2021,ADMIN,05-02-2022,,102,CRPL,
24-01-2022,MAARA INDUSTRIES_954,576,08-02-2022,"14,000",15-12-2021,Supplier,07-02-2022,,54,CRPL,
25-01-2022,AKSHIT TRADERS_962,605,08-02-2022,"22,826",23-12-2021,Supplier,07-02-2022,,46,CRPL,
25-01-2022,CV-T.J.AGENCIES,600,08-02-2022,"14,516",24-11-2021,Supplier,07-02-2022,,75,CV,
19-01-2022,S.V.S.AGENGY_440,552,09-02-2022,"25,837",07-10-2021,Supplier,08-02-2022,,124,CRPL,
19-01-2022,CV-SARAVANA AGENCIES,558,09-02-2022,"17,039",01-10-2021,Supplier,08-02-2022,,130,CV,
24-01-2022,ZARAH DISTRIBUTORS LLP_745,588,09-02-2022,"17,000",11-01-2022,Supplier,08-02-2022,,28,CRPL,
17-01-2022,CV-S.GURUSAMY,496,10-02-2022,"12,654",31-10-2021,Supplier,08-02-2022,,100,CV,
24-01-2022,KAVYA ENTERPRISES_153,595,09-02-2022,"4,201",28-12-2021,Supplier,08-02-2022,,42,CRPL,
31-01-2022,ANNAI AGENCIES_930,635,09-02-2022,"25,188",09-01-2022,Supplier,08-02-2022,,30,CRPL,
24-01-2022,MAARA INDUSTRIES_954,577,10-02-2022,"12,608",15-12-2021,Supplier,09-02-2022,,56,CRPL,
24-01-2022,ZARAH DISTRIBUTORS LLP_745,589,10-02-2022,"18,340",11-01-2022,Supplier,09-02-2022,,29,CRPL,
29-01-2022,R.V.ENTERPRISES_797,627,10-02-2022,"9,791",26-01-2022,Supplier,09-02-2022,,14,CRPL,
24-01-2022,BENANI FOODS PVT LTD_41,591,10-02-2022,"4,665",10-01-2022,Supplier,09-02-2022,,30,CRPL,
28-01-2022,CV-RIKHAB TRADING COMPANY,620,10-02-2022,"9,600",03-02-2022,Supplier,09-02-2022,,6,CV,
20-01-2022,CV-P.S.B.ENTERPRISES,565,11-02-2022,"21,735",24-09-2021,Supplier,10-02-2022,,139,CV,
27-01-2022,DHARSHAN FRUIT AND VEGETABLE_902,611,11-02-2022,"21,991",21-01-2022,Supplier,10-02-2022,,20,CRPL,
27-01-2022,MEHTA AGENCIES_949,616,11-02-2022,"10,982",22-01-2022,Supplier,10-02-2022,,19,CRPL,
31-01-2022,ANNAI FOOD PRODUCTS PVT LTD_581,637,14-02-2022,"8,464",28-12-2021,Supplier,11-02-2022,,45,CRPL,
17-01-2022,CV-SJ ENTERPRISES,494,14-02-2022,"5,151",20-10-2021,Supplier,11-02-2022,,114,CV,
17-01-2022,CV-SRI VINAYAKA AGENCIES_347,503,14-02-2022,"13,775",12-10-2021,Supplier,11-02-2022,,122,CV,
24-01-2022,JAYALAKSHMI ENTERPRISES_131,575,14-02-2022,"18,890",19-12-2021,Supplier,11-02-2022,,54,CRPL,
29-01-2022,Shiva Screen & Offset,624,14-02-2022,"6,405",08-01-2022,Admin,11-02-2022,,34,CRPL,
24-01-2022,SAI RAM MARKETING_265,573,14-02-2022,"6,696",07-01-2022,Supplier,11-02-2022,,35,CRPL,
25-01-2022,SRINIVASA TRADERS_350,607,14-02-2022,"1,763",08-01-2022,Supplier,11-02-2022,,34,CRPL,
27-01-2022,THE BARN_380,612,14-02-2022,"1,781",03-12-2021,Supplier,11-02-2022,,70,CRPL,
17-01-2022,CV-SRI JAYALAKSHMI ENTERPRISE,493,15-02-2022,"27,171",01-12-2021,Supplier,14-02-2022,,75,CV,
24-01-2022,CV-MANJU CHEMICALS P LTD,582,15-02-2022,"5,411",25-08-2021,Supplier,14-02-2022,,173,CV,
04-01-2022,CV-CRYSTAL ENTERPRISES,430,16-02-2022,"14,218",11-08-2021,Supplier,15-02-2022,,188,CV,11-02-2022
20-12-2021,SREE SAI ENTERPRISES,336,16-02-2022,"14,012",09-11-2021,Supplier,15-02-2022,,98,CV,
29-01-2022,ASHRIYA ENTERPRISES_656,625,16-02-2022,"11,424",25-01-2022,Supplier,15-02-2022,,21,CRPL,
29-01-2022,Shiva Screen & Offset,623,16-02-2022,"1,086",09-11-2021,Admin,15-02-2022,,98,CRPL,
18-01-2022,CV-ADITHYA CO,523,17-02-2022,"16,400",28-12-2021,Supplier,16-02-2022,,50,CV,07-02-2022
29-01-2022,SRI YASANAH ENTERPRISES_890,626,17-02-2022,"2,417",26-01-2022,Supplier,16-02-2022,,21,CRPL,
18-01-2022,CV-ADITHYA CO,522,18-02-2022,"25,269",28-12-2021,Supplier,17-02-2022,,51,CV,09-02-2022
19-01-2022,CV-CUSTOM APPAREL,559,19-02-2022,"6,616",02-06-2021,Supplier,18-02-2022,,261,CV,11-02-2022
18-01-2022,CV-SRI JEET TRADERS,524,19-02-2022,"20,116",03-01-2022,Supplier,18-02-2022,,46,CV,10-02-2022
18-01-2022,CV-NIRMAL DISTRIBUTORS,527,19-02-2022,"22,039",13-10-2021,Supplier,18-02-2022,,128,CV,10-02-2022
24-01-2022,CV-KRISHNA TRADING,592,19-02-2022,"20,000",13-04-2021,Supplier,18-02-2022,,311,CV,
31-01-2022,CV-KARTHIK AGENCY,638,19-02-2022,"14,887",16-08-2021,Supplier,18-02-2022,,186,CV,
24-01-2022,CV-KATARIYA AGENCIES,590,19-02-2022,"7,308",04-09-2021,Supplier,18-02-2022,,167,CV,
18-01-2022,CV-SRI JEET TRADERS,525,21-02-2022,"19,000",03-01-2022,Supplier,19-02-2022,,47,CV,07-02-2022
29-01-2022,B.VISWANATHAN_936,629,21-02-2022,"22,450",06-01-2022,Supplier,19-02-2022,,44,CRPL,08-02-2022
19-01-2022,BACKIYA STORES_39,534,22-02-2022,"9,988",23-12-2021,Supplier,21-02-2022,,60,CV,11-02-2022
24-01-2022,CV-KRISHNA TRADING,593,22-02-2022,"15,000",13-04-2021,Supplier,21-02-2022,,314,CV,
24-01-2022,J.S AGENCIES_438,586,22-02-2022,"16,000",31-12-2021,Supplier,21-02-2022,,52,CRPL,
28-01-2022,CV-RIKHAB TRADING COMPANY,621,22-02-2022,"15,530",03-02-2022,Supplier,21-02-2022,,18,CV,
13-01-2022,BENANI FOODS PVT LTD_41,475,22-02-2022,"3,432",08-12-2021,Supplier,21-02-2022,,75,CRPL,
31-01-2022,SYSTECH CREATIVE,632,23-02-2022,"17,541",16-10-2021,Supplier,22-02-2022,,129,CRPL,
31-01-2022,CV-TANNYS GOURMET FOODS LLP,636,23-02-2022,"9,144",14-07-2021,Supplier,22-02-2022,,223,CV,
24-01-2022,J.S AGENCIES_438,585,23-02-2022,"18,779",31-12-2021,Supplier,22-02-2022,,53,CRPL,
28-01-2022,CV-RIKHAB TRADING COMPANY,622,23-02-2022,"15,000",03-02-2022,Supplier,22-02-2022,,19,CV,
19-01-2022,CV-SRI BALA ASSOCIATE,554,23-02-2022,"7,016",17-09-2021,Supplier,22-02-2022,,158,CV,
24-01-2022,CV-RADHIKA AGENCIES,583,24-02-2022,"18,504",29-09-2021,Supplier,23-02-2022,,147,CV,14-Feb
24-01-2022,R SQUARE FOOD FACTORY_771,584,24-02-2022,"13,844",23-12-2021,Supplier,23-02-2022,,62,CRPL,14-02-2022
20-01-2022,N.S.ENTERPRISES,563,24-02-2022,"9,255",18-01-2022,Supplier,23-02-2022,,36,CRPL,
19-01-2022,CV-RAJA SNACKS AND SWEETS,557,24-02-2022,"8,233",08-11-2021,Supplier,23-02-2022,,107,CV,
25-01-2022,SUPREME AGENCIES_472,603,,"7,562",17-01-2022,Supplier,In Hand,,#VALUE!,CRPL,
23-11-2021,GABRIEL TRADERS,160,,"40,000",04-06-2021,Supplier,In Hand,,,CV,
13-12-2021,JAYAM AGENCY,279,,"25,686",28-12-2020,Supplier,In Hand,,,CV,
13-12-2021,JAYAM AGENCY,280,,"25,000",28-12-2021,Supplier,In Hand,,,CV,
27-11-2021,PRAVEENA AGENCIES,245,,"21,767",16-06-2021,Supplier,In Hand,,,CV,
27-11-2021,SREE SAI ENTERPRISES,250,,"2,503",14-09-2021,Supplier,In Hand,,,CV,
01-12-2021,SRI HARIHARAN ENTERPRISES,80,,"2,205",12-10-2021,Supplier,In Hand,,,CRPL,
20-12-2021,BARANI ENTERPRISES,343,,"7,782",19-05-2021,Supplier,In Hand,,,CV,
27-12-2021,SHREE MAHALAKSHMI ENTERPRISES_288,385,,"3,331",18-12-2021,Supplier,In Hand,,,CRPL,
11-01-2022,CV-MY ORGANIC BAZAAR,457,,"8,893",17-06-2021,Supplier,In Hand,,,CV,
11-01-2022,CV-SRI VALLIAPPA AGENCIES,449,,"3,449",08-09-2021,Supplier,In Hand,,,CV,
11-01-2022,CV-BALAJI AGENCIES,448,,"12,606",23-08-2021,Supplier,In Hand,,,CV,
13-01-2022,CV-KAVYA ENTERPRISES,473,,"6,463",18-11-2021,Supplier,In Hand,,,CV,
13-01-2022,OM DEEPAM AGENCIES,481,,969,12-10-2021,Supplier,In Hand,,,CRPL,
13-01-2022,CV-SHREE KRISHNA ENTERPRISES,489,,"2,652",28-06-2021,Supplier,In Hand,,,CV,
17-01-2022,CV-B AND M HOT BREADS PVT LTD,498,,"9,603",10-08-2021,Supplier,In Hand,,,CV,
17-01-2022,CV-B AND M HOT BREADS PVT LTD,499,,"6,861",10-08-2021,Supplier,In Hand,,,CV,
17-01-2022,CV-B AND M HOT BREADS PVT LTD,500,,"5,635",20-08-2021,Supplier,In Hand,,,CV,
17-01-2022,CV-B AND M HOT BREADS PVT LTD,501,,"7,378",20-08-2021,Supplier,In Hand,,,CV,
17-01-2022,CV-CRYSTAL ENTERPRISES,506,,"12,487",23-08-2021,Supplier,In Hand,,,CV,
19-01-2022,INDRA AGENCIES_123,542,,"18,788",17-12-2021,Supplier,In Hand,,,CRPL,
19-01-2022,CV-CHENNAI TRADERS,553,,"18,975",11-09-2021,Supplier,In Hand,,,CV,
19-01-2022,CV-INNOVATIVE FOODS LTD CHENNAI,555,,"7,848",09-09-2021,Supplier,In Hand,,,CV,
21-01-2022,CV-B AND M HOT BREADS PVT LTD,567,,"10,291",31-08-2021,Supplier,In Hand,,,CV,
24-01-2022,YAKULT DANONE INDIA PVT LTD_419,572,,"2,814",17-01-2022,Supplier,In Hand,,,CRPL,
24-01-2022,SRI JAYALAKSHMI ENTERPRISE_801,579,,"15,741",01-12-2021,Supplier,In Hand,,,CRPL,
24-01-2022,DURGA ENTERPRISES,594,,"5,724",12-10-2021,Supplier,In Hand,,,CRPL,
24-01-2022,CV-S.GURUSAMY,596,,"9,010",10-11-2021,Supplier,In Hand,,,CV,
25-01-2022,V DO EVENTS_867,606,,"13,151",04-12-2021,Supplier,In Hand,,,CRPL,
25-01-2022,VENKATESHWARA HATCHERIES PRIVATE LIMITED_542,609,,"12,076",12-01-2022,Supplier,In Hand,,,CRPL,
25-01-2022,CV-BITS IMPEX PVT LTD,610,,"13,972",24-04-2021,Supplier,In Hand,,,CV,
27-01-2022,SUPREME AGENCIES_472,617,,"6,380",22-01-2022,Supplier,In Hand,,,CRPL,
29-01-2022,SUPREME AGENCIES_472,628,,"4,985",26-01-2022,Supplier,In Hand,,,CRPL,
29-01-2022,SAKTHI ENTERPRISES_619,630,,"9,750",28-01-2022,Supplier,In Hand,,,CRPL,
29-01-2022,CV-SAKTHI ENTERPRISES,631,,"16,960",28-01-2022,Supplier,In Hand,,,CV,
31-01-2022,CV-D.A.Engineering Works,633,,"5,310",26-08-2021,Admin,In Hand,,,CV,
02-02-2022,SAOA,639,,"18,850",31-01-2022,RENT-SVA,In Hand,,,CRPL,
07-02-2022,CV-CRYSTAL ENTERPRISES,640,,"14,218",11-08-2021,Supplier,In Hand,,,CV,
07-02-2022,DHARSHAN FRUIT AND VEGETABLE_902,641,,"23,106",28-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,GEETHA AGENCIES_946,642,,"8,411",12-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,SUN AGRO COM RESOURCES_942,643,,"3,897",05-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,A.G.AGENCIES_650,644,,"9,797",07-12-2021,Supplier,In Hand,,,CRPL,
07-02-2022,ARCHANA TRADING_640,645,,"12,070",08-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,ARCHANA TRADING_640,646,,"13,000",08-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,BULLOCHCART DELIVERIES_48,647,,"15,198",31-12-2021,Supplier,In Hand,,,CRPL,
07-02-2022,G.G.AGENCIES_576,648,,"8,898",26-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,INDIA SWEET COMPANY PRIVATE LIMITED_122,649,,"15,582",09-12-2021,Supplier,In Hand,,,CRPL,
07-02-2022,CV-Rhino Sentinel And Allied Services,650,,"12,870",31-10-2021,Security,In Hand,,,CV,
07-02-2022,CV-Rhino Sentinel And Allied Services,651,,"30,000",31-10-2021,Security,In Hand,,,CV,
07-02-2022,CV-Rhino Sentinel And Allied Services,231,,"27,420",31-10-2021,Security,In Hand,,,CV,
07-02-2022,CV-Sree Gokulam Food & Beverages (P) Ltd,653,,"3,000",30-04-2021,Admin,In Hand,,,CV,
07-02-2022,JAYALAKSHMI ENTERPRISES_131,654,,"7,500",11-12-2021,Supplier,In Hand,,,CRPL,
07-02-2022,MARS TRADING MART_863,655,,"15,162",19-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,MEHTA AGENCIES_949,656,,"16,038",01-02-2022,Supplier,In Hand,,,CRPL,
07-02-2022,CV-GL DISTRIBUTORS LLP,657,,"19,936",20-01-2022,Supplier,In Hand,,,CV,
07-02-2022,CV-T.J.AGENCIES,658,,"10,686",24-11-2022,Supplier,In Hand,,,CV,
07-02-2022,SUPREME AGENCIES_472,659,,"3,985",29-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,BABA ENTERPRISES_869,660,,"2,318",29-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,R SQUARE FOOD FACTORY_771,661,,"11,711",12-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,SAKTHI TRADERS_270,662,,"14,000",25-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,SAKTHI TRADERS_270,663,,"13,978",25-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,D.A.ENGINEERING WORK,665,,"5,664",07-12-2021,Admin,In Hand,,,CRPL,
07-02-2022,CV-RAINBOW FORMS,666,,"12,744",13-11-2021,Admin,In Hand,,,CV,
07-02-2022,CV-SKY Office Mart,667,,"9,095",26-08-2021,HK,In Hand,,,CV,
07-02-2022,CV-GURUSAMY.S (MILK),668,,"5,000",31-08-2021,Admin,In Hand,,,CV,
07-02-2022,CV-GURUSAMY.S (MILK),669,,"4,900",31-08-2021,Admin,In Hand,,,CV,
07-02-2022,CV-GURUSAMY.S (MILK),670,,"4,080",31-08-2021,Admin,In Hand,,,CV,
07-02-2022,CV-S.GURUSAMY,671,,"7,377",20-11-2021,Supplier,In Hand,,,CV,
08-02-2022,JAI MARKETING AGENCYS_937,672,,"4,428",12-01-2022,Supplier,In Hand,,,CRPL,
08-02-2022,CV-GIRI Brothers,673,,"3,363",ADV,Admin,In Hand,,,CV,
